〇	líng•yuán•xīng	U+3007
㐀	qiū	U+3400
㐁	tiàn	U+3401
㐄	kuà	U+3404
㐅	wǔ	U+3405
㔫	mǒu•zuǒ	U+352B
㐆	yǐn	U+3406
㐌	yí	U+340C
㐖	xié	U+3416
㐜	chóu	U+341C
㐡	nuò	U+3421
㐤	dān•qiú	U+3424
㐨	xù	U+3428
㐩	xíng	U+3429
㐫	xiōng	U+342B
㐬	liú	U+342C
㐭	lǐn	U+342D
㐮	xiāng	U+342E
㐯	yōng	U+342F
㐰	xìn	U+3430
㐱	zhěn	U+3431
㐲	dài	U+3432
㐳	wù	U+3433
㐴	pān	U+3434
㐵	rú	U+3435
㐷	mǎ	U+3437
㐸	qiàn•cì	U+3438
㐹	yì	U+3439
㐺	yín•zhòng	U+343A
㐻	nèi	U+343B
㐼	chèng	U+343C
㐽	fēng	U+343D
㑁	zhuō	U+3441
㑂	fǎng	U+3442
㑃	ǎo	U+3443
㑄	wǔ	U+3444
㑅	zuò	U+3445
㑇	zhòu	U+3447
㑈	dòng	U+3448
㑉	sù	U+3449
㑊	yì	U+344A
㑋	qióng	U+344B
㑌	kuāng•wāng	U+344C
㑍	lèi	U+344D
㑎	nǎo	U+344E
㑏	zhù	U+344F
㑐	shū	U+3450
㑔	xǔ	U+3454
㑗	shēn	U+3457
㑘	jiè	U+3458
㑙	dié	U+3459
㑚	nuó	U+345A
㑛	sù	U+345B
㑜	yì•chì	U+345C
㑝	lòng	U+345D
㑞	yìng	U+345E
㑟	běng	U+345F
㑣	lán	U+3463
㑤	miáo	U+3464
㑥	yì	U+3465
㑦	lì	U+3466
㑧	jì	U+3467
㑨	yǔ	U+3468
㑩	luó	U+3469
㑪	chái	U+346A
㑮	hún	U+346E
㑯	xǔ	U+346F
㑰	huì	U+3470
㑱	rǎo	U+3471
㑳	zhòu•zhū	U+3473
㑵	hàn	U+3475
㑶	xì	U+3476
㑷	tài	U+3477
㑸	yáo	U+3478
㑹	huì	U+3479
㑺	jùn	U+347A
㑻	mà	U+347B
㑼	lüè	U+347C
㑽	táng	U+347D
㑾	yáo	U+347E
㑿	zhào	U+347F
㒀	zhāi•zhǎ	U+3480
㒁	yǔ	U+3481
㒂	zhuó	U+3482
㒃	èr	U+3483
㒄	rǎn	U+3484
㒅	qǐ	U+3485
㒆	chì	U+3486
㒇	wǔ	U+3487
㒈	hàn	U+3488
㒉	tǎng	U+3489
㒊	sè	U+348A
㒌	qióng	U+348C
㒍	léi	U+348D
㒎	sà	U+348E
㒑	kuǐ•huì	U+3491
㒒	pú	U+3492
㒓	tà	U+3493
㒔	shú•dú•tù	U+3494
㒕	yāng	U+3495
㒖	ǒu	U+3496
㒗	tái	U+3497
㒙	mián	U+3499
㒚	yìn•wěn	U+349A
㒛	diào	U+349B
㒜	yǔ	U+349C
㒝	miè•wà	U+349D
㒞	jùn	U+349E
㒟	niǎo	U+349F
㒠	xiè	U+34A0
㒡	yóu	U+34A1
㒤	chè	U+34A4
㒥	fēng	U+34A5
㒦	lěi•lèi	U+34A6
㒧	lì	U+34A7
㒩	luǒ	U+34A9
㒫	jì	U+34AB
㒰	quán	U+34B0
㒲	cái	U+34B2
㒳	liǎng	U+34B3
㒴	gǔ	U+34B4
㒵	mào	U+34B5
㒷	guǎ	U+34B7
㒸	suì	U+34B8
㒻	mào	U+34BB
㒼	mán	U+34BC
㒽	quān	U+34BD
㒾	shì	U+34BE
㒿	lí	U+34BF
㓁	wǎng	U+34C1
㓂	kòu	U+34C2
㓃	dù	U+34C3
㓄	zhèn	U+34C4
㓅	tīng	U+34C5
㓈	bìng	U+34C8
㓉	huò	U+34C9
㓊	dòng	U+34CA
㓋	gòng	U+34CB
㓌	chēng	U+34CC
㓎	qīn•qìn•qǐn	U+34CE
㓏	jiǒng	U+34CF
㓐	lù	U+34D0
㓑	xìng	U+34D1
㓓	nán	U+34D3
㓔	xiè	U+34D4
㓖	bì	U+34D6
㓗	jié	U+34D7
㓘	sù	U+34D8
㓚	gōng	U+34DA
㓜	yòu	U+34DC
㓝	xíng	U+34DD
㓞	qià	U+34DE
㓟	pí	U+34DF
㓠	diàn•diǎn	U+34E0
㓡	fǔ•guā	U+34E1
㓢	luò	U+34E2
㓣	qià•gē	U+34E3
㓤	qià	U+34E4
㓥	tāng	U+34E5
㓦	bāi	U+34E6
㓧	gān	U+34E7
㓨	cí	U+34E8
